<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lotus Gold Com.ETF,20230510, 218300.00, 218300.00, 213351.00, 214471.00,1167772204801.00, 5444906,6948,D,219848.00,213500.00
Lotus Gold Com.ETF,20230509, 219500.00, 220400.00, 218600.00, 219848.00,1521945142784.00, 6922722,7879,D,217609.00,218700.00
Lotus Gold Com.ETF,20230508, 221000.00, 221000.00, 215500.00, 217609.00,2684726154267.00, 12337359,9491,D,214674.00,216720.00
Lotus Gold Com.ETF,20230507, 220012.00, 220100.00, 212500.00, 214674.00,1437020934863.00, 6693979,11379,D,227129.00,212990.00
Lotus Gold Com.ETF,20230506, 229175.00, 229970.00, 225500.00, 227129.00,2054496634045.00, 9045506,9700,D,228368.00,225607.00
Lotus Gold Com.ETF,20230503, 225010.00, 231462.00, 224711.00, 228368.00,1196844911404.00, 5240851,8208,D,229175.00,229990.00
Lotus Gold Com.ETF,20230502, 233000.00, 233700.00, 227000.00, 229175.00,2093257534234.00, 9133871,13944,D,237708.00,227450.00
Lotus Gold Com.ETF,20230501, 240010.00, 241000.00, 234300.00, 237708.00,3400620936083.00, 14305864,15286,D,234304.00,236995.00
Lotus Gold Com.ETF,20230430, 230100.00, 237098.00, 228012.00, 234304.00,2769213638772.00, 11818867,12211,D,229028.00,236740.00
Lotus Gold Com.ETF,20230429, 227500.00, 234990.00, 227490.00, 229028.00,3653137597482.00, 15950600,13590,D,213950.00,229000.00
Lotus Gold Com.ETF,20230426, 208490.00, 218100.00, 208490.00, 213950.00,2702039312803.00, 12629310,9371,D,206881.00,217400.00
Lotus Gold Com.ETF,20230425, 206780.00, 207822.00, 206228.00, 206881.00,601949239747.00, 2909644,4350,D,206789.00,207822.00
Lotus Gold Com.ETF,20230424, 207800.00, 207800.00, 206509.00, 206789.00,550413075727.00, 2661712,5732,D,206901.00,206763.00
Lotus Gold Com.ETF,20230419, 206110.00, 207550.00, 205002.00, 206901.00,909600976088.00, 4396320,5168,D,204799.00,206950.00
Lotus Gold Com.ETF,20230418, 205855.00, 206000.00, 204097.00, 204799.00,770171493804.00, 3760623,6264,D,206068.00,205800.00
Lotus Gold Com.ETF,20230417, 205810.00, 206888.00, 205310.00, 206068.00,886124576423.00, 4300152,6101,D,201894.00,206150.00
Lotus Gold Com.ETF,20230416, 202000.00, 203299.00, 200050.00, 201894.00,592389186932.00, 2934155,5689,D,202936.00,202968.00
Lotus Gold Com.ETF,20230415, 204800.00, 204839.00, 201950.00, 202936.00,1176873083959.00, 5799227,8118,D,204840.00,202490.00
Lotus Gold Com.ETF,20230411, 205012.00, 207000.00, 203800.00, 204840.00,1435706648035.00, 7008901,6692,D,199633.00,204730.00
Lotus Gold Com.ETF,20230410, 201000.00, 202100.00, 197100.00, 199633.00,845655619780.00, 4236057,6644,D,206538.00,202100.00
Lotus Gold Com.ETF,20230409, 207700.00, 208000.00, 205387.00, 206538.00,716521985432.00, 3469209,6983,D,207477.00,205950.00
Lotus Gold Com.ETF,20230408, 208450.00, 209209.00, 205022.00, 207477.00,1106845474037.00, 5334780,8316,D,208456.00,209050.00
Lotus Gold Com.ETF,20230405, 206000.00, 210888.00, 206000.00, 208456.00,1730814061834.00, 8303034,10449,D,201960.00,208900.00
Lotus Gold Com.ETF,20230404, 202900.00, 203750.00, 199500.00, 201960.00,1362874185873.00, 6748240,11913,D,212065.00,203230.00
Lotus Gold Com.ETF,20230403, 215000.00, 215932.00, 208500.00, 212065.00,1672701557821.00, 7887690,13482,D,214536.00,208679.00
Lotus Gold Com.ETF,20230329, 211222.00, 216100.00, 211222.00, 214536.00,1188008323462.00, 5537582,8422,D,207614.00,216060.00
Lotus Gold Com.ETF,20230328, 205999.00, 208960.00, 204999.00, 207614.00,885271025646.00, 4264029,7283,D,205425.00,208499.00
Lotus Gold Com.ETF,20230327, 204500.00, 206199.00, 203500.00, 205425.00,1453665056398.00, 7076370,7378,D,201558.00,204997.00
Lotus Gold Com.ETF,20230326, 209800.00, 209800.00, 198900.00, 201558.00,1311390270991.00, 6506261,9817,D,209149.00,200907.00
Lotus Gold Com.ETF,20230325, 209590.00, 211111.00, 207250.00, 209149.00,1843221365518.00, 8812965,10393,D,197812.00,208911.00
Lotus Gold Com.ETF,20230319, 196400.00, 198990.00, 196400.00, 197812.00,1296277938986.00, 6553092,8227,D,190908.00,198798.00
Lotus Gold Com.ETF,20230318, 188000.00, 193875.00, 186500.00, 190908.00,1838667351514.00, 9631161,10101,D,179814.00,192450.00
Lotus Gold Com.ETF,20230315, 180000.00, 182000.00, 177800.00, 179814.00,2031403577846.00, 11297255,11720,D,176640.00,179000.00
Lotus Gold Com.ETF,20230314, 174016.00, 179250.00, 174000.00, 176640.00,3795289960208.00, 21486069,12049,D,169723.00,179180.00
Lotus Gold Com.ETF,20230313, 171900.00, 171900.00, 168210.00, 169723.00,1886236541147.00, 11113587,8314,D,166938.00,170455.00
Lotus Gold Com.ETF,20230312, 162000.00, 172227.00, 162000.00, 166938.00,3939081214843.00, 23596008,13514,D,162811.00,168100.00
Lotus Gold Com.ETF,20230311, 162520.00, 166500.00, 159430.00, 162811.00,2070896971115.00, 12719630,11368,D,176650.00,159990.00
Lotus Gold Com.ETF,20230307, 179000.00, 179060.00, 175005.00, 176650.00,1443339350593.00, 8170600,7537,D,183487.00,177120.00
Lotus Gold Com.ETF,20230306, 184000.00, 185300.00, 181680.00, 183487.00,1969194796686.00, 10732079,9009,D,191740.00,181680.00
Lotus Gold Com.ETF,20230305, 193141.00, 195000.00, 189800.00, 191740.00,1135247241951.00, 5920776,6937,D,199571.00,190900.00
Lotus Gold Com.ETF,20230304, 190000.00, 204196.00, 190000.00, 199571.00,2088583425473.00, 10465391,9382,D,190107.00,201400.00
Lotus Gold Com.ETF,20230301, 192000.00, 192500.00, 187000.00, 190107.00,2089851400872.00, 10993008,9652,D,202019.00,189476.00
Lotus Gold Com.ETF,20230228, 203520.00, 206002.00, 199012.00, 202019.00,2779041033951.00, 13756352,8717,D,206089.00,205200.00
Lotus Gold Com.ETF,20230227, 208008.00, 214998.00, 198513.00, 206089.00,4002956802012.00, 19423442,16898,D,218142.00,199890.00
Lotus Gold Com.ETF,20230226, 223000.00, 224699.00, 206700.00, 218142.00,3482943453024.00, 15966383,21675,D,214876.00,207040.00
Lotus Gold Com.ETF,20230225, 213630.00, 216867.00, 209990.00, 214876.00,2758139687030.00, 12835938,12290,D,197152.00,216867.00
Lotus Gold Com.ETF,20230222, 193000.00, 198500.00, 193000.00, 197152.00,1835579090970.00, 9310487,8530,D,189103.00,198499.00
Lotus Gold Com.ETF,20230221, 188000.00, 193151.00, 185380.00, 189103.00,2429890644239.00, 12849553,12017,D,195313.00,186801.00
Lotus Gold Com.ETF,20230220, 200500.00, 200500.00, 191002.00, 195313.00,3365423486443.00, 17230892,16086,D,199527.00,196501.00
Lotus Gold Com.ETF,20230219, 200000.00, 200850.00, 196100.00, 199527.00,2405077027415.00, 12053877,12907,D,184921.00,199578.00
Lotus Gold Com.ETF,20230215, 184000.00, 186550.00, 182010.00, 184921.00,2298585180792.00, 12430097,9597,D,178810.00,186430.00
Lotus Gold Com.ETF,20230214, 178000.00, 181749.00, 176500.00, 178810.00,1736263130251.00, 9710077,9182,D,174306.00,177400.00
Lotus Gold Com.ETF,20230213, 173210.00, 175600.00, 172010.00, 174306.00,843045742451.00, 4836597,5850,D,170703.00,175260.00
Lotus Gold Com.ETF,20230212, 167000.00, 174500.00, 164610.00, 170703.00,1722789003801.00, 10092291,7852,D,163468.00,172850.00
Lotus Gold Com.ETF,20230208, 163250.00, 164034.00, 162703.00, 163468.00,527575920537.00, 3227389,3278,D,163066.00,163901.00
Lotus Gold Com.ETF,20230207, 163000.00, 163576.00, 162100.00, 163066.00,453469405442.00, 2780891,3507,D,163225.00,163300.00
Lotus Gold Com.ETF,20230206, 162622.00, 164490.00, 161900.00, 163225.00,1268012254156.00, 7768494,4563,D,160710.00,164000.00
Lotus Gold Com.ETF,20230205, 159500.00, 161950.00, 158100.00, 160710.00,856238182342.00, 5327842,4223,D,162887.00,161504.00
Lotus Gold Com.ETF,20230201, 162500.00, 163569.00, 161960.00, 162887.00,787370720529.00, 4833843,4486,D,159857.00,163441.00
Lotus Gold Com.ETF,20230131, 160000.00, 162000.00, 157501.00, 159857.00,874492111895.00, 5470458,4664,D,163088.00,161900.00
Lotus Gold Com.ETF,20230130, 164490.00, 164490.00, 161711.00, 163088.00,977967134398.00, 5996543,6295,D,162270.00,162000.00
Lotus Gold Com.ETF,20230129, 159050.00, 165998.00, 159020.00, 162270.00,2224240695262.00, 13707035,9501,D,158732.00,161500.00
Lotus Gold Com.ETF,20230128, 157200.00, 161408.00, 157200.00, 158732.00,1624074717704.00, 10231523,8395,D,150648.00,157895.00
Lotus Gold Com.ETF,20230125, 147000.00, 153679.00, 147000.00, 150648.00,1013184139911.00, 6725488,6990,D,150829.00,153678.00
Lotus Gold Com.ETF,20230124, 155860.00, 155860.00, 148298.00, 150829.00,1309007552964.00, 8678753,8170,D,159544.00,149799.00
Lotus Gold Com.ETF,20230123, 164500.00, 165800.00, 154802.00, 159544.00,1657760155745.00, 10390609,11705,D,168722.00,156700.00
Lotus Gold Com.ETF,20230122, 168101.00, 172400.00, 165000.00, 168722.00,2126283167170.00, 12602313,13364,D,158380.00,169151.00
Lotus Gold Com.ETF,20230121, 156002.00, 162231.00, 152000.00, 158380.00,1721549933196.00, 10869744,8175,D,147483.00,162231.00
Lotus Gold Com.ETF,20230118, 147000.00, 148890.00, 145800.00, 147483.00,766935079575.00, 5200148,5215,D,143189.00,147552.00
Lotus Gold Com.ETF,20230117, 142080.00, 144899.00, 142060.00, 143189.00,1544228357926.00, 10784537,5531,D,141462.00,144349.00
Lotus Gold Com.ETF,20230116, 141484.00, 141800.00, 140900.00, 141462.00,594678204958.00, 4203810,4325,D,140636.00,141690.00
Lotus Gold Com.ETF,20230115, 0.00, 0.00, 0.00, 140636.00,0.00, 0,0,D,140636.00,141000.00
Lotus Gold Com.ETF,20230114, 140000.00, 141779.00, 140000.00, 140636.00,749251284516.00, 5327586,3998,D,138695.00,141000.00
Lotus Gold Com.ETF,20230111, 138162.00, 139329.00, 138024.00, 138695.00,321147086426.00, 2315495,2336,D,138718.00,139299.00
Lotus Gold Com.ETF,20230110, 138500.00, 139298.00, 138472.00, 138718.00,470107129781.00, 3388938,2611,D,138475.00,138890.00
Lotus Gold Com.ETF,20230109, 139900.00, 139990.00, 137409.00, 138475.00,681331674182.00, 4920259,4835,D,139815.00,138389.00
Lotus Gold Com.ETF,20230108, 139800.00, 140600.00, 138600.00, 139815.00,1022711447220.00, 7314756,4826,D,137243.00,139270.00
Lotus Gold Com.ETF,20230107, 136000.00, 137899.00, 135801.00, 137243.00,1645350417519.00, 11988615,4756,D,133319.00,137899.00
Lotus Gold Com.ETF,20230104, 131696.00, 134700.00, 131203.00, 133319.00,938358670066.00, 7038459,3312,D,131898.00,133130.00
Lotus Gold Com.ETF,20230103, 133900.00, 133900.00, 130351.00, 131898.00,1078443062236.00, 8176361,5002,D,135237.00,132200.00
Lotus Gold Com.ETF,20230102, 134500.00, 136000.00, 134500.00, 135237.00,799675139387.00, 5913125,4085,D,131260.00,135100.00
Lotus Gold Com.ETF,20230101, 126699.00, 133850.00, 126699.00, 131260.00,1171341599673.00, 8923848,5193,D,128857.00,133399.00
Lotus Gold Com.ETF,20221231, 131600.00, 131600.00, 126060.00, 128857.00,1841025758924.00, 14287320,9305,D,138690.00,127056.00
Lotus Gold Com.ETF,20221228, 137405.00, 140000.00, 136970.00, 138690.00,946458115277.00, 6824288,6083,D,134251.00,139700.00
Lotus Gold Com.ETF,20221226, 133900.00, 134980.00, 133300.00, 134251.00,702807398227.00, 5235007,4888,D,132074.00,134295.00
Lotus Gold Com.ETF,20221225, 130501.00, 133000.00, 130500.00, 132074.00,1079115500578.00, 8170567,4780,D,130042.00,132650.00
Lotus Gold Com.ETF,20221224, 129000.00, 130950.00, 128980.00, 130042.00,986167260636.00, 7583423,4530,D,126239.00,130650.00
Lotus Gold Com.ETF,20221221, 125901.00, 127023.00, 125000.00, 126239.00,673198530281.00, 5332723,3227,D,126972.00,126699.00
Lotus Gold Com.ETF,20221220, 127000.00, 127773.00, 124200.00, 126972.00,1571689282026.00, 12378194,4920,D,127061.00,124451.00
Lotus Gold Com.ETF,20221219, 126650.00, 128100.00, 125001.00, 127061.00,785993235806.00, 6185941,3700,D,127051.00,126641.00
Lotus Gold Com.ETF,20221218, 126200.00, 127798.00, 125600.00, 127051.00,1057834272402.00, 8326051,4782,D,126186.00,126900.00
Lotus Gold Com.ETF,20221217, 125500.00, 127150.00, 125500.00, 126186.00,921180357956.00, 7300204,4776,D,125620.00,126730.00
Lotus Gold Com.ETF,20221214, 126010.00, 126754.00, 124000.00, 125620.00,1167923353305.00, 9297287,5932,D,125844.00,124494.00
Lotus Gold Com.ETF,20221213, 127000.00, 127200.00, 124200.00, 125844.00,1311585425517.00, 10422325,6624,D,125245.00,125200.00
Lotus Gold Com.ETF,20221212, 124700.00, 126880.00, 123950.00, 125245.00,1628695321176.00, 13004033,5889,D,123926.00,126879.00
Lotus Gold Com.ETF,20221211, 123011.00, 124999.00, 122995.00, 123926.00,868811188854.00, 7010698,4996,D,122005.00,124000.00
Lotus Gold Com.ETF,20221210, 120900.00, 123495.00, 120900.00, 122005.00,1301120371683.00, 10664475,4467,D,119674.00,123369.00
Lotus Gold Com.ETF,20221207, 119490.00, 120200.00, 119010.00, 119674.00,404150265143.00, 3377101,2454,D,120341.00,119951.00
Lotus Gold Com.ETF,20221206, 121011.00, 121011.00, 119811.00, 120341.00,562737556715.00, 4676181,3801,D,121632.00,119870.00
Lotus Gold Com.ETF,20221205, 121480.00, 122000.00, 121160.00, 121632.00,581518133095.00, 4780977,4359,D,120034.00,121939.00
Lotus Gold Com.ETF,20221204, 119170.00, 120710.00, 119166.00, 120034.00,855982187241.00, 7131155,4345,D,118263.00,120710.00
Lotus Gold Com.ETF,20221203, 117800.00, 118861.00, 117800.00, 118263.00,805131424915.00, 6807961,3162,D,117527.00,118630.00
Lotus Gold Com.ETF,20221130, 116980.00, 118130.00, 116980.00, 117527.00,546289946387.00, 4648222,1957,D,116713.00,117600.00
Lotus Gold Com.ETF,20221129, 116750.00, 117100.00, 116207.00, 116713.00,294394737292.00, 2522385,2097,D,118195.00,116715.00
Lotus Gold Com.ETF,20221128, 118600.00, 118600.00, 116712.00, 118195.00,1028545555586.00, 8702143,3964,D,117845.00,116800.00
Lotus Gold Com.ETF,20221127, 117500.00, 118198.00, 117402.00, 117845.00,883515632827.00, 7497237,3682,D,115965.00,117800.00
Lotus Gold Com.ETF,20221126, 115470.00, 116890.00, 115300.00, 115965.00,747520734674.00, 6446111,2876,D,114694.00,116800.00
Lotus Gold Com.ETF,20221123, 114900.00, 115140.00, 114440.00, 114694.00,456037157555.00, 3976114,1829,D,114651.00,115000.00
Lotus Gold Com.ETF,20221122, 114504.00, 114896.00, 114250.00, 114651.00,253783853765.00, 2213529,1667,D,114051.00,114896.00
Lotus Gold Com.ETF,20221121, 114020.00, 114300.00, 113870.00, 114051.00,225646629824.00, 1978470,1472,D,114014.00,114100.00
Lotus Gold Com.ETF,20221120, 113850.00, 114280.00, 113556.00, 114014.00,569767268461.00, 4997330,2132,D,112812.00,114020.00
Lotus Gold Com.ETF,20221119, 112501.00, 113380.00, 112250.00, 112812.00,397843302149.00, 3526617,1789,D,113156.00,113372.00
Lotus Gold Com.ETF,20221116, 113000.00, 113489.00, 112823.00, 113156.00,346540307197.00, 3062499,1687,D,113515.00,113340.00
Lotus Gold Com.ETF,20221115, 113220.00, 114000.00, 113152.00, 113515.00,734733911518.00, 6472565,2667,D,111562.00,113320.00
Lotus Gold Com.ETF,20221114, 111200.00, 112410.00, 111100.00, 111562.00,701868113148.00, 6291303,2245,D,110376.00,112262.00
Lotus Gold Com.ETF,20221113, 109997.00, 110850.00, 109351.00, 110376.00,393581082244.00, 3565816,1859,D,109862.00,110829.00
Lotus Gold Com.ETF,20221112, 110400.00, 110400.00, 109401.00, 109862.00,256876167509.00, 2338172,1991,D,110170.00,109999.00
Lotus Gold Com.ETF,20221109, 110398.00, 110995.00, 109300.00, 110170.00,549641085476.00, 4989009,2502,D,110065.00,109682.00
Lotus Gold Com.ETF,20221108, 111890.00, 111900.00, 108490.00, 110065.00,769386026196.00, 6990259,3587,D,112353.00,109324.00
Lotus Gold Com.ETF,20221107, 112000.00, 112999.00, 111601.00, 112353.00,882617708494.00, 7855777,4025,D,111130.00,111947.00
Lotus Gold Com.ETF,20221106, 112000.00, 112555.00, 110511.00, 111130.00,832938177693.00, 7495194,4295,D,113590.00,110660.00
Lotus Gold Com.ETF,20221105, 113270.00, 114290.00, 112810.00, 113590.00,1415598163955.00, 12462299,7468,D,111276.00,112904.00
Lotus Gold Com.ETF,20221102, 109751.00, 112750.00, 109751.00, 111276.00,1694549909416.00, 15228405,5567,D,108032.00,111401.00
Lotus Gold Com.ETF,20221101, 106900.00, 109000.00, 106899.00, 108032.00,1067827594897.00, 9884401,3850,D,106090.00,108900.00
Lotus Gold Com.ETF,20221031, 105400.00, 106830.00, 105400.00, 106090.00,720823282767.00, 6794432,2247,D,105047.00,106825.00
Lotus Gold Com.ETF,20221030, 104900.00, 105175.00, 104500.00, 105047.00,103038706652.00, 980880,1117,D,104819.00,105123.00
Lotus Gold Com.ETF,20221029, 104690.00, 105050.00, 104519.00, 104819.00,308609511710.00, 2944211,1635,D,104297.00,104945.00
Lotus Gold Com.ETF,20221026, 103998.00, 104600.00, 103850.00, 104297.00,389419274803.00, 3733736,1544,D,103909.00,104582.00
Lotus Gold Com.ETF,20221025, 103801.00, 104145.00, 103500.00, 103909.00,116201747179.00, 1118299,1105,D,103608.00,103840.00
Lotus Gold Com.ETF,20221024, 103850.00, 103888.00, 103400.00, 103608.00,143651113857.00, 1386482,1036,D,104172.00,103788.00
Lotus Gold Com.ETF,20221023, 104041.00, 104440.00, 103983.00, 104172.00,75573054097.00, 725463,862,D,104254.00,104400.00
Lotus Gold Com.ETF,20221022, 104200.00, 104500.00, 104091.00, 104254.00,202252451453.00, 1939993,1557,D,103903.00,104200.00
Lotus Gold Com.ETF,20221019, 104290.00, 104290.00, 103500.00, 103903.00,190307471514.00, 1831581,1144,D,104057.00,103581.00
Lotus Gold Com.ETF,20221018, 104200.00, 104349.00, 103922.00, 104057.00,175551920535.00, 1687076,1287,D,104870.00,104130.00
Lotus Gold Com.ETF,20221017, 105250.00, 105300.00, 104650.00, 104870.00,339570980034.00, 3238013,1306,D,105171.00,104798.00
Lotus Gold Com.ETF,20221016, 105000.00, 105590.00, 104798.00, 105171.00,282592271771.00, 2686969,1706,D,104421.00,105400.00
Lotus Gold Com.ETF,20221015, 104100.00, 104850.00, 104000.00, 104421.00,169779508915.00, 1625913,1323,D,104469.00,104497.00
Lotus Gold Com.ETF,20221012, 104750.00, 104750.00, 104140.00, 104469.00,147338067092.00, 1410355,927,D,104339.00,104502.00
Lotus Gold Com.ETF,20221011, 104300.00, 104680.00, 104156.00, 104339.00,361210575284.00, 3461881,1698,D,103553.00,104526.00
Lotus Gold Com.ETF,20221010, 103255.00, 104089.00, 102900.00, 103553.00,163303181747.00, 1577003,1352,D,103723.00,104087.00
Lotus Gold Com.ETF,20221009, 103739.00, 104270.00, 103224.00, 103723.00,206136215365.00, 1987376,1514,D,104304.00,104150.00
Lotus Gold Com.ETF,20221008, 105200.00, 105200.00, 103710.00, 104304.00,288142622979.00, 2762528,2021,D,106044.00,104189.00
Lotus Gold Com.ETF,20221004, 106850.00, 106850.00, 105700.00, 106044.00,302406809366.00, 2851703,2137,D,106472.00,105732.00
Lotus Gold Com.ETF,20221003, 106239.00, 106980.00, 105811.00, 106472.00,457059408448.00, 4292784,2645,D,105659.00,106580.00
Lotus Gold Com.ETF,20221002, 105000.00, 106296.00, 104900.00, 105659.00,689159906746.00, 6522512,3927,D,104130.00,105740.00
Lotus Gold Com.ETF,20221001, 102900.00, 105200.00, 102810.00, 104130.00,1668939428710.00, 16027486,4252,D,99746.00,105130.00
Lotus Gold Com.ETF,20220928, 100430.00, 100430.00, 99450.00, 99746.00,98476455436.00, 987270,1108,D,100244.00,99799.00
Lotus Gold Com.ETF,20220926, 99810.00, 100495.00, 99810.00, 100244.00,122493387684.00, 1221956,1046,D,100115.00,100400.00
Lotus Gold Com.ETF,20220924, 99650.00, 100290.00, 99650.00, 100115.00,138549860139.00, 1383903,1107,D,99290.00,100100.00
Lotus Gold Com.ETF,20220921, 99000.00, 99875.00, 99000.00, 99290.00,94117439078.00, 947901,937,D,99669.00,99870.00
Lotus Gold Com.ETF,20220920, 99849.00, 100193.00, 99250.00, 99669.00,144640354633.00, 1451206,1079,D,99648.00,99302.00
Lotus Gold Com.ETF,20220919, 100000.00, 100199.00, 99003.00, 99648.00,191344099415.00, 1920198,1580,D,100910.00,99399.00
Lotus Gold Com.ETF,20220918, 100899.00, 101197.00, 100450.00, 100910.00,355054177059.00, 3518511,1571,D,100251.00,100800.00
Lotus Gold Com.ETF,20220914, 100000.00, 100986.00, 99023.00, 100251.00,502240317687.00, 5009828,2582,D,101042.00,100052.00
Lotus Gold Com.ETF,20220913, 100550.00, 101877.00, 100300.00, 101042.00,492092879066.00, 4870162,3015,D,98945.00,101410.00
Lotus Gold Com.ETF,20220912, 97871.00, 100000.00, 97871.00, 98945.00,347468748640.00, 3511722,2379,D,96970.00,99655.00
Lotus Gold Com.ETF,20220911, 96870.00, 97340.00, 96600.00, 96970.00,191954645114.00, 1979518,1516,D,96359.00,97340.00
Lotus Gold Com.ETF,20220910, 96500.00, 96660.00, 95913.00, 96359.00,397985553647.00, 4130220,1646,D,94997.00,96100.00
Lotus Gold Com.ETF,20220907, 94616.00, 95500.00, 94610.00, 94997.00,131177409639.00, 1380856,882,D,95716.00,95452.00
Lotus Gold Com.ETF,20220906, 95888.00, 96111.00, 95500.00, 95716.00,128781366786.00, 1345454,1039,D,95532.00,95593.00
Lotus Gold Com.ETF,20220905, 96240.00, 96240.00, 94952.00, 95532.00,161253328070.00, 1687956,1242,D,96428.00,95091.00
Lotus Gold Com.ETF,20220904, 96200.00, 96670.00, 96167.00, 96428.00,155034901927.00, 1607772,1402,D,95810.00,96480.00
Lotus Gold Com.ETF,20220903, 95777.00, 96379.00, 95400.00, 95810.00,367834280959.00, 3839208,1917,D,94706.00,95579.00
Lotus Gold Com.ETF,20220831, 94000.00, 95000.00, 93900.00, 94706.00,209533604825.00, 2212458,1269,D,93642.00,94379.00
Lotus Gold Com.ETF,20220830, 93399.00, 93900.00, 92650.00, 93642.00,183263729349.00, 1957078,1023,D,93386.00,93602.00
Lotus Gold Com.ETF,20220829, 93500.00, 93954.00, 93100.00, 93386.00,111262549127.00, 1191427,1189,D,93744.00,93220.00
Lotus Gold Com.ETF,20220828, 93400.00, 94690.00, 93022.00, 93744.00,235793147002.00, 2515277,1546,D,94256.00,93900.00
Lotus Gold Com.ETF,20220827, 94255.00, 95450.00, 93500.00, 94256.00,965256126120.00, 10240773,3711,D,92080.00,93663.00
Lotus Gold Com.ETF,20220824, 92631.00, 92631.00, 91552.00, 92080.00,174645082988.00, 1896676,1720,D,93769.00,92300.00
Lotus Gold Com.ETF,20220823, 94800.00, 94800.00, 92480.00, 93769.00,292421944933.00, 3118524,2679,D,93654.00,92580.00
Lotus Gold Com.ETF,20220822, 93000.00, 95497.00, 92299.00, 93654.00,831383586140.00, 8877215,4137,D,91687.00,94798.00
Lotus Gold Com.ETF,20220821, 90501.00, 92836.00, 90060.00, 91687.00,292940662543.00, 3195008,2848,D,91500.00,91918.00
Lotus Gold Com.ETF,20220820, 91300.00, 92000.00, 91000.00, 91500.00,285005212315.00, 3114827,2505,D,93936.00,91401.00
Lotus Gold Com.ETF,20220817, 95000.00, 95000.00, 93400.00, 93936.00,282943283005.00, 3012084,2700,D,96865.00,93800.00
Lotus Gold Com.ETF,20220816, 97003.00, 97400.00, 96250.00, 96865.00,198864526118.00, 2053017,2031,D,97005.00,96881.00
Lotus Gold Com.ETF,20220815, 97600.00, 98300.00, 96400.00, 97005.00,389781863372.00, 4018155,2572,D,98166.00,96539.00
Lotus Gold Com.ETF,20220814, 98520.00, 98888.00, 97310.00, 98166.00,179181939837.00, 1825299,2457,D,100331.00,98821.00
Lotus Gold Com.ETF,20220813, 101200.00, 101500.00, 98819.00, 100331.00,433609278938.00, 4321767,3793,D,102879.00,99655.00
Lotus Gold Com.ETF,20220810, 103025.00, 103555.00, 102302.00, 102879.00,165498332611.00, 1608674,1617,D,103949.00,103131.00
Lotus Gold Com.ETF,20220809, 104400.00, 104439.00, 103350.00, 103949.00,111166342473.00, 1069433,1612,D,103364.00,103350.00
Lotus Gold Com.ETF,20220806, 103600.00, 103860.00, 102050.00, 103364.00,216438282529.00, 2093936,2138,D,104393.00,103404.00
Lotus Gold Com.ETF,20220803, 104497.00, 104810.00, 103790.00, 104393.00,215044331987.00, 2059952,1808,D,105022.00,104350.00
Lotus Gold Com.ETF,20220802, 105200.00, 105222.00, 104730.00, 105022.00,150648358709.00, 1434444,843,D,105061.00,105017.00
Lotus Gold Com.ETF,20220801, 105620.00, 105620.00, 104624.00, 105061.00,252228173167.00, 2400767,994,D,105779.00,105139.00
Lotus Gold Com.ETF,20220731, 105746.00, 105900.00, 105600.00, 105779.00,725989909502.00, 6863300,1046,D,105803.00,105779.00
Lotus Gold Com.ETF,20220730, 105801.00, 106100.00, 105560.00, 105803.00,1010489664448.00, 9550693,1531,D,105247.00,105779.00
Lotus Gold Com.ETF,20220727, 105392.00, 105500.00, 104960.00, 105247.00,74747978108.00, 710218,1035,D,105446.00,105240.00
Lotus Gold Com.ETF,20220726, 105020.00, 105700.00, 105020.00, 105446.00,170799599367.00, 1619778,1002,D,105002.00,105370.00
Lotus Gold Com.ETF,20220725, 105780.00, 105780.00, 104800.00, 105002.00,97902236638.00, 932388,1088,D,105678.00,104978.00
Lotus Gold Com.ETF,20220724, 105490.00, 105800.00, 104901.00, 105678.00,438786823667.00, 4152100,1219,D,104722.00,105700.00
Lotus Gold Com.ETF,20220723, 104900.00, 105998.00, 104503.00, 104722.00,1224794194574.00, 11695703,1870,D,104073.00,105501.00
Lotus Gold Com.ETF,20220720, 104060.00, 104450.00, 103700.00, 104073.00,495964288974.00, 4765553,1156,D,104132.00,104320.00
Lotus Gold Com.ETF,20220719, 104300.00, 104500.00, 104012.00, 104132.00,248050804980.00, 2382075,1249,D,104704.00,104190.00
Lotus Gold Com.ETF,20220717, 105500.00, 105500.00, 104501.00, 104704.00,278436306482.00, 2659280,1582,D,105987.00,104587.00
Lotus Gold Com.ETF,20220716, 105330.00, 106350.00, 105330.00, 105987.00,425137715424.00, 4011237,1797,D,104976.00,106070.00
Lotus Gold Com.ETF,20220713, 105000.00, 105370.00, 104820.00, 104976.00,93145397769.00, 887305,1101,D,105361.00,105330.00
Lotus Gold Com.ETF,20220712, 105992.00, 105992.00, 104600.00, 105361.00,136632560008.00, 1296805,1065,D,106022.00,105373.00
Lotus Gold Com.ETF,20220711, 105901.00, 106297.00, 105600.00, 106022.00,158785858861.00, 1497673,1384,D,105037.00,106079.00
Lotus Gold Com.ETF,20220709, 105110.00, 105458.00, 103800.00, 105037.00,105882889838.00, 1008055,1462,D,105980.00,105240.00
Lotus Gold Com.ETF,20220706, 105514.00, 106700.00, 105000.00, 105980.00,331960654657.00, 3132298,2315,D,106411.00,105779.00
